%------------------------------------------------------------------------------
% 100 top ranked websites returned by Google search "web" (April 18, 2006)
%------------------------------------------------------------------------------
% Data Mining the Web: Uncovering Patterns in Web Content, Structure, and Usage
% Copyright © by Zdravko Markov, Ph.D., and Daniel T. Larose, Ph.D.
%------------------------------------------------------------------------------
% Only websites with text content between 1K and 10K are included.
% The Weka ARFF string format is used. TFIDF or term count representations can 
% be obtained by using the StringToWordVector filter.
% The class is defined as "prof" for websites used by IT professionals,
% and "info" for websites providing information or direct web services.
%------------------------------------------------------------------------------


@relation top-100-websites

@attribute website_title string
@attribute website_content string
@attribute website_class string


@data

"AddMe, Free Search Engine Submission Site Promotion and Website Optimization", "addme free search engine submission site promotion website optimization tell friend home newsletter link advertise testimonials 800 members search welcome promotion tools site submission site optimization ror feeds product feed submission menu builder sitemap generator statstracker list hosting free stuff article dispenser meta tags keywords popularity link cloaker compacturl linkwatch flash banners website templates articles newsletter ad products tools archive ads adster new way buy sell flat rate text ads advertise web design website professional look click search engine submission optimization welcome add com leading resource webmasters small business owners specialized website submission promotion search engines 1996 add currently 800 members click bookmark website search engine optimization search engines important source quality traffic learn search engine optimization improve ranking search engines 20 guaranteed 20 ranking major search engines search engine submission seo tool want deep fast web site submission web service need perform monthly submission web site hundreds search engines year service comes powerful seo keyword suggestion tool free search engine submission great web site knows exists come right place add lets web site submission 14 search engines directory free product feed submission just like website submission helps submit website search engines using form product feed submission helps submit products shopping search engines using feed froogle feed converter available search engine optimization language ror resources resource xml format describing content ror objects website including products services articles songs reviews pay click search engine promotion great way attract targeted traffic pay click search engines learn ppc search engines work consider using attract new customers depth web traffic statistics tool provides comprehensive real time analysis web traffic example hits page views unique visitors site receiving day week month year traffic coming sites search engines search engine keywords view sample web statistics professional web design want site professional look don want spend great cheap solution website templates pick design download make simple changes voila promotion articles articles promoting running website business partners advertise site latest article pay click 2006 latest tactics ses ny using sessions ses ny guideline going introduce experts doing ppc articles site quick links web directory quality directory links thisisouryear internet marketing dm confidential serving online marketing industry promotion marketing free website promotion marketing software focuslook com advertise products services free web hosting search compare web hosting providers dhtml menu builder create professional looking javascript menus ror create structured feed search engines toptimizeit com search engine optimization bookmark manager linkagogo free online favorites manager internet marketing tips marketingfind com getafreelancer com need custom work site allwebmenus stylish javascript menu dhtml menu elib org directory shopping related websites templatemonster anfyteam free newsletter join free weekly newsletter tips advice better succeed online privacy policy copyright 1996 2006 add",prof
"Adobe Systems Incorporated", "adobe systems incorporatedskip main navigation searchcontact asia australia austria belgium brazil canada china denmark eastern europe finland france germany hong kong india italy japan korea latin america luxembourg middle east netherlands new zealand norway singapore south africa spain sweden switzerland taiwan united kingdom united states productsallacrobat familycreative suitedocument servicesdigital imagingvideo audioweb publishingprint publishingsolutionsenterprisegovernment education partners developers mobilesupportsupport maindownloadstrainingforumsannouncements design center purchaseadobe storeyour accountvolume licensingother ways buycustomer servicecompanyabout adobepressjobsinvestorscommunitycontact adobe adobe platform adobe pdf shockwave player solutionsenterprise bridging paper digital divide simply powerfully securely government agencies citizens businesses education educators students partners resellers developers solutions providers isvs print service providers trainers mobile delivering rich experiences mobile phones consumer electronics devices announcementsannouncing adobe pdf print engine powering generation pdf workflows adobe pdf print engine new enabling technology commercial printing manufacturers adobe nab join adobe nab learn creating engaging content broadcast key media engage flash flash enriches experiences mobile phones consumer electronics devices adobe flex beta release available download latest flex beta release complete development framework needed build scalable rich internet applications events seminarsprivacy policy update view adobe online privacy policy important updates copyright 2006 adobe systems incorporated rights reserved terms use online privacy policy accessibility preventing software piracy permissions trademarks product license agreements",prof
"Alexa Web Search", "alexa web search web searchtraffic rankingswebsite directory hot searches gospel judas masters grand national passover monster rabbit http movers shakers 500 sites search subjectsartsbusinesscomputersgameshealthhomekids teensnewsrecreationreferenceregionalscienceshoppingsocietysportsworld alexa web search platform alexa hiring alexa toolbar download quick tour make webmaster services associate toolbar traffic buttons site info links site report data services alexa web search platform web information service sites service rss feeds company info history technology jobs help arts movies television music business employment real estate investing computers internet software hardware games video games roleplaying gambling health fitness medicine alternative recreation travel food outdoors humor reference maps education libraries regional canada europe science biology psychology physics shopping autos clothing gifts subjects web discovery machine april 17 2006 posted geoffrey mack day file taxes cease amazed minute rush file taxes year irs gov graph goes bonkers day handy links irs form 4868 file extension irs irs file state links april 11 2006 posted geoffrey mack alexa site facelift just pushed changes alexa site pretty excited hopper sites country addition sites language sites subject offering sites country recently viewed new feature works users alexa toolbar looking sites succession alexa site info page sites ve visited quickly site info pages traffic graph enhancements enhancements cool alexaholic significant improvement ve extended maximum time frame fixed minor annoyances example feedback march 29 2006 posted geoffrey mack facebook sale long topic social networking sites like myspace facebook college equivalent myspace making noises sale reported recent businessweek article comparison sites reveals interesting stuff like example myspace sold 580 million year facebook looking billion quite markup 3x increase pricetag makes facebook valuable does page views definitive statistics available look companies like alexa comscore idea according comscore myspace gets 4x pageturns facebook according alexa dramatic myspace 10x pageturns 6x visitors crazy buy facebook inflated prices sumner redstone outdone rupert murdoch news corp bought myspace year media mogul sumner redstone viacom rumored eyeing bait guess ll wait happens happens confirmed rupert murdoch got deal century bought myspace web discovery movers shakers 164 masters golf tournament www masters org 40 michaelleeausti com www michaelleeausti com 210 eu domain european union www eurid eu 48 whois source www whois sc movers shakers 500 sites yahoo www yahoo com google www google com microsoft network msn www msn com ebay www ebay com myspace www myspace com sites alexa toolbar click access search site reviews make alexa homepage alexa alexa news download alexa toolbar help privacy policy terms use 1996 2004 alexa internet",info
"Amazing Counters - Free Web Counter Free Hit Counters", "amazing counters free web counter free hit counters free counters amazing counters sign sample counters account login help faq advertise homecontact account login email address password amazing counters offers best free web counters free hit counters free web site statistics offer 100 styles useful options include web stats sign fast easy free create counter today sample web counters browse 450 counter styles 20 categories create free web counter free hit counter sign today offer best free hit counter service choose free web counter offer 450 different styles sample counters quality speed reliability free web site statistics incl daily weekly history fast easy sign installation copy paste free create free web counter partners discount online shopping isp internet access free forum hosting free image hosting free web site statistics unlike free hit counters amazing counters features free web site statistics allowing track web site traffic time browse real time stats daily traffic history past 30 days view weekly traffic history year overall statistics invisible counter just use free web counter private stats click sample statistics easy installation fast easy create free hit counter just select counter style enter basic web site information url site takes create account install free hit counter web page simply copyng counter code provide pasting web page upload pages website click create web counter free hit counter simple don know html code doesn require java script simple create free web site counter professional websites personal home pages blog web pages myspace xanga msn spaces blogger using cool unique styles hidden invisible counters compatible frontpage dream weaver myspace com xanga ebay programs blogs website builders 2004 2006 amazing counterscounter sign help privacy disclaimer credits contact advertise login",prof
"Amtrak", "amtrak en espa ol home help contact search user id password remember user id registerhelp forgot id password way trip round trip multi city trip departs departure date time station list jan feb mar apr jun jul aug sep oct nov dec 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 select midnight 10 11 noon pm pm pm pm pm pm pm pm pm 10 pm 11 pm calendar arrives return date time station list jan feb mar apr jun jul aug sep oct nov dec 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 select midnight 10 11 noon pm pm pm pm pm pm pm pm pm 10 pm 11 pm calendar passengers max adults children ages 15 infants age sort schedule fare city required train number used departs arrives station list station list train optional date time apr 1.31415e+021 select midnight 10 11 noon pm pm pm pm pm pm pm pm pm 10 pm 11 pm calendar search scheduled arrival scheduled departure inside amtrak press media site map amtrak store privacy security legal terms transportation foia",info
"AOL_com - Welcome to America Online", "aol com welcome america online sign svetoslavmaolweb videonew local pictures music shopping businesses events moviesaddress city state zip inclick view screen reader friendly version site skip content skip tools skip search form click view page flash content make home page free aim mail join aol april 18 2006good evening newsentertainmentlifestylemarketplacesports senate best worst time ranks rate tour bus plunges cliff accident kills 60 people demand news videos murder suspect grisly blog tape shows truck hitting womanheadlinesas 30 edt troop deaths iraq spike white house chief hints shake drivers face cell phone restrictions aol sports columnists money rules race track dishing nba awards8 http pr atwola com promoimp 100124311xx1075894023can aol zaol directory aol high speed autos black voices celebrity news cityguide diet fitness food home games health horoscopes jobs love aol mail mapquest mobile money finance movies music news people pictures real estate research shopping sports television in2tv travel yellow pages video demand hedge fun game based animated movie watch video californication chili peppers sing home live performancemore videos check thousands videos featured station 111 worst songs stations xm highway 16 xm audio visions prince xm ethel xm deep tracks 200 stations town movie listings tv listings events 10 ideas town check short list things places city week hot picksenter zip code restaurants music nightlife tickets aol aim mail aim money music aol video hooks lines rumorsthe daily catch loves namibia brangelina bundle joy born africa brangelina videos eva jealous weather local weather enter zip code city things plan buy autos shopping travel better gas mileage don need buy hybrid save gas check seven affordable fuel efficient autos cars tipstell think learn alternative fuels poll vote favoriteshopping summer just corner latest swimwear trends shop nowtravel great deals right united fare sale round trip fares 83 dealshttp pr atwola com promoimp 100124311xx1075896071software downloads servicesaol servicesaol alert aol small business aol digital lifestyle aol latino aol com chinese free downloadsprotect safeguardaol products software aol toolbar aol explorer instant messenger safety security services anti virus computer checkup parental controls aol search web aol llc aol international terms use privacy policy trademarks customer support accessibility policy aol unsolicited bulk mail policy advertise member benefits download aol aol connects world information looking online aol web portal provides variety custom content linking relevant information available internet looking listen music download aim aol resources need search latest world news download ringtones sign free mail aol partner searching web 2006 aol llc rights reserved pink razr blowout today ad feedbackfree aim mail sign home buying 200k loan 875 mo details member sign unlimited hours 90 days risk freenot member try aol risk free 90 days trouble numbers try aol step step math listen songs instantly aol music",info
"Apple", "apple hot news rss headlinessio sees big picture visit apple store apple store locations chandler chandler fashion center phoenix biltmore tucson la encantada brea brea mall burlingame burlingame corte madera corte madera costa mesa south coast plaza emeryville bay street glendale glendale galleria irvine irvine spectrum center los angeles century city los angeles grove los angeles beverly center manhattan beach manhattan village mission viejo mission viejo newport beach fashion island northridge northridge palo alto palo alto palo alto stanford shopping center pasadena pasadena pleasanton stoneridge mall rancho cucamonga victoria gardens sacramento arden fair san diego fashion valley san diego utc san francisco san francisco san francisco stonestown san jose oakridge santa clara valley fair santa monica street promenade santa rosa santa rosa plaza sherman oaks sherman oaks thousand oaks oaks walnut creek walnut creek denver cherry creek littleton aspen grove danbury danbury fair mall farmington westfarms newark christiana mall aventura aventura boca raton boca raton jacksonville st johns town center miami falls orlando florida mall orlando millenia palm beach gardens gardens mall tampa international plaza wellington wellington green alpharetta north point atlanta lenox square honolulu ala moana chicago north michigan avenue northbrook northbrook oak brook oakbrook schaumburg woodfield skokie old orchard indianapolis keystone west des moines jordan creek annapolis annapolis bethesda bethesda row bethesda montgomery mall towson towson town center braintree south shore burlington burlington cambridge cambridgeside chestnut hill chestnut hill hingham derby street peabody northshore grand rapids woodland novi oaks troy somerset bloomington mall america edina southdale roseville rosedale des peres west county kansas city country club plaza st louis st louis galleria las vegas fashion reno summit sierra salem rockingham park bridgewater bridgewater edison menlo park marlton sagemore paramus garden state plaza rockaway rockaway short hills short hills woodcliff lake tice corner albany crossgates buffalo walden galleria garden city roosevelt field huntington station walt whitman new york city soho staten island staten island syracuse carousel victor eastview west nyack palisades white plains westchester charlotte southpark durham southpoint cincinnati kenwood towne centre columbus easton town center lyndhurst legacy village oklahoma city penn square portland pioneer place tigard washington square tualatin bridgeport village king prussia king prussia pittsburgh shadyside pittsburgh south hills village germantown saddle creek nashville green hills austin barton creek dallas northpark center highland park knox street houston houston galleria plano willow bend san antonio la cantera southlake town square southlake woodlands woodlands salt lake city gateway arlington clarendon arlington pentagon city mclean tysons corner richmond short pump town center bellevue square bellevue square lynnwood alderwood mall seattle university village tukwila southcenter wauwatosa mayfair international store locations toronto yorkdale aichi nagoya sakae fukuoka fukuoka tenjin osaka shinsaibashi sendai sendai ichibancho shibuya shibuya tokyo ginza birmingham bullring kent bluewater london brent cross london regent street manchester trafford centre sheffield meadowhall 800 apple reseller site map rss feeds job opportunities media info terms use privacy policy contact usimportant safety recall rechargeable batteries 12 inch ibook g4 12 inch 15 inch powerbook g4 copyright 2006 apple computer rights reserved apple com worldwide asia australia austria belgium brazil canada china denmark europe finland france germany hong kong india ireland italy japan korea latin america mexico netherlands norway singapore south africa spain sweden switzerland taiwan uk united states powered mac os server",prof
"AT&T Knowledge Network Explorer Blue Web'n Homepage", "knowledge network explorer blue web homepage quick links blue web filamentality lessons videoconferencing rate kne staff development discounts knews search educational web sites using content areas subject area grade level blue web online library 2010 outstanding internet sites categorized subject grade level format tools references lessons hotlists resources tutorials activities projects browse broad subject area content areas specific sub categories subject area site scoring rubric answers burning questions month 10 new sites added description additions sent signing free updates receive email updates send email message bluewebn subscribe yahoogroups com stop receiving updates send message bluewebn unsubscribe yahoogroups com using address used subscribed select options click search button selections yield fewer matches sites broad subject area foreign language earth science browse clickable subject area list sites sorted subject format english references science projects browse content table note looking standards based materials select education curriculum drop content area enter subject search terms try education alternatives sites close curriculum aren standards aligned grade level early childhood elementary middle school high school college adult professional application type tools references lesson plans hotlists information resources tutorials activities projects content area arts architecture crafts general literature money numismatics music performing arts philosophy poetry visual arts business accounting finance general management marketing small business community connectivity current events news mail gardening genealogy general government politics health information media literacy internet jobs leisure parenting families reference desk regional information religion seasonal software web development education alternatives counseling curriculum distance learning educational technology general grants information media literacy reform school management special education teaching learning english general journalism literature reading speaking writing foreign language american sign language asl classical languages english second language esl french general german pacific rim spanish health physical education development diseases drugs family living general health nutrition physical education safety history social studies anthropology archaeology biography california history cultures current events economics general geography government human rights mythology psychology sociology united states history world history mathematics algebra arithmetic calculus general geometry logic language measurement problem solving statistics probability science astronomy space chemistry computer science earth science environmental studies general life science paleontology physics technology applied science child safety engineering general manufacturing planning policy vocational education agriculture automotive technology careers computers construction drafting design family consumer sciences general higher education home economics click pull menu dewey number dewey dewey dewey 20 dewey 27 dewey 28 dewey 70 dewey 100 dewey 150 dewey 158 dewey 290 dewey 301 dewey 306 dewey 320 dewey 330 dewey 331 dewey 361 dewey 370 dewey 371 dewey 375 dewey 378 dewey 390 dewey 400 dewey 425 dewey 430 dewey 440 dewey 460 dewey 480 dewey 490 dewey 500 dewey 510 dewey 511 dewey 512 dewey 515 dewey 516 dewey 519 dewey 520 dewey 530 dewey 540 dewey 550 dewey 560 dewey 570 dewey 590 dewey 600 dewey 610 dewey 613 dewey 614 dewey 620 dewey 630 dewey 635 dewey 640 dewey 649 dewey 650 dewey 657 dewey 658 dewey 670 dewey 690 dewey 700 dewey 720 dewey 737 dewey 750 dewey 780 dewey 790 dewey 800 dewey 808 dewey 811 dewey 900 dewey 909 dewey 910 dewey 920 dewey 929 dewey 973 dewey 979 click pull menu search terms type separating words space posted 1995 modified 2006 2006 copyright knowledge ventures rights reserved sbc sbc logo trademarks knowledge ventures site contains links public sites content language fall jurisdiction views opinions expressed sites read disclaimer curriculum staff development discounts funding knews kne blue web filamentality lessons videoconferencing grants rate site guide feedback search",prof
"BBC - homepage - Home of the BBC on the Internet", "bbc homepage home bbc internethomenewssportradiotvweatherlanguages accessibility help text mobile pdas uk versioninternational versionabout versions explore explore bbc uk bbc uk bbc news web people searching 40 radio gear popular new browse news africa americas asia pacific europe middle east south asia uk business science nature technology entertainment news 33 languages sport football cricket rugby union tennis motorsport radio world service programme world service schedules radio uk radio radio radio radio live asian network tv bbc world bbc america tv uk bbc bbc bbc bbc weather world weather news country guides learning english online courses vocabulary grammar quizzes bbc sites children health history music society culture try index news monday 17 april 2006 21 54 gmt 22 54 uk tel aviv suicide bomb kills palestinian suicide bomber kills people tel aviv restaurant act self defence says hamas pictures tel aviv blast witnesses recount bomb terror israel parliament sworn watch listen bbc news rss headlines moussaoui came broken home balkans race stem flooding sport chelsea point away title tottenham man utd watch listen bbc sport rss news 33 languages languages radio listen live audio bbc world service listen latest bulletins news sport business listen subscribe podcast programme radio schedules launch radio player tv bbc international tv channels bbc world bbc america weather weather london tuesday max 13 min cwednesday max 14 min c5 day forecast change city services audio video news mobiles pdas desktop alerts daily mail desktop ticker rss feeds don miss big modern day san francisco prepares great quake easter pictures christians celebrate resurrection jesus christ video audio city sand beijing engulfed desert sandstorm learning english words news grammar vocabulary quizzes country profiles africa americas asia pacific europe middle east audio video links require download additional plug ins bbc services podcasting trial download bbc programmes mp3 player news alerts alerts breaking news desktop email services personalise news daily email bbc press office annual report bbc world service trust complaints contact bbc responsible content external internet sites mmvi bbc help terms use privacy cookies policy",info
